Tags,Tags
All,All
Top tag list,Top tag list
Top 10 tag block,Top 10 tag block
Tag Cloud,Tag Cloud
Top tag cloud block,Top tag cloud block
The latest tag,The latest tag
Relationships,Relationships
Statistics,Statistics
Verify,Verifyssss
search result,search result
All tags,All tags
Search,Search
not found,not found
Try some other words,Try some other words
Delete,Delete
tags relationships,tags relationships
not related an obj in ,not related an obj in 
Term,Term
Count,Count
Operation,Operation
Tag Name,Tag Name
Item,Item
Type,Type
Time,Time
Staticstics,Staticstics
Global Top tags,Global Top tags
No,No
Latest tags,Latest tags
Link time,Link time
Invalid links,Invalid links
Module,Module
Congratulations,Congratulations
No invalid link found.,No invalid link found.
Title,Title
No invalid tag found,No invalid tag found
Limit,Limit
Block display item count,Block display item count
Color,Color
Set tag cloud color,Set tag cloud color
Max font size,Max font size
Set max font size,Set max font size
Min font size,Min font size
Set min font size,Set min font size
